"Timestamp","tracks","urls"
"2016/07/24 12:27:32 AM AST","KIWIK","https://soundcloud.com/kiwikmusic"
"2016/07/24 12:27:33 AM AST","Run Away - CLUBHOUSE (Captain Cam Remix)","https://soundcloud.com/camden-levine/clubhouse"
"2016/07/24 12:27:34 AM AST","Juicy Cola & Koa - Hospital Beds","https://soundcloud.com/juicy-cola/juicy-cola-koa-hospital-beds"
"2016/07/24 12:27:35 AM AST","Clefnix - Get Away (feat. Patrick Harbor) [Celestial Vibes Exclusive]","https://soundcloud.com/celestial_vibes/clefnix-get-away-feat-patrick-harbor-celestial-vibes-exclusive"
"2016/07/24 12:27:35 AM AST","Alan Walker - Faded (Vigalo Remix)[Free Download]","https://soundcloud.com/vigalo/alanwalker-faded-vigalo-remix"
"2016/07/24 12:27:36 AM AST","James Bay - Scars (AGST Remix)","https://soundcloud.com/soundsoftheuniversesotu/james-bay-scars-agst-remix"
"2016/07/24 12:27:37 AM AST","Selena Gomez - Kill Em With Kindness (Elloh Remix)","https://soundcloud.com/ellohmusic/selena-gomez-kill-em-with-kindness-elloh-remix"
"2016/07/24 12:27:37 AM AST","Tropical at its Best","https://soundcloud.com/tropical-at-its-best"
"2016/07/24 12:27:38 AM AST","ConKi - Tomorrow ft. Blest Jones","https://soundcloud.com/conkiofficial/conki-ft-blest-jonas-tomorrow"
"2016/07/24 12:27:39 AM AST","LIGHTS - Same Sea (Contigo Remix)","https://soundcloud.com/music-contigo/lights-same-sea-contigo-remix"
"2016/07/24 12:27:39 AM AST","Henri Purnell - Jungle (ft. Pema Sherpa) [OUT NOW]","https://soundcloud.com/classyton/henri-purnell-jungle-ft-pema-sherpa"
"2016/07/24 12:27:40 AM AST","Me, Myself & I (Oliver Heldens Remix)","https://soundcloud.com/wegoheldeep/rexha-heldens-remix"
"2016/07/24 12:27:41 AM AST","G Eazy ft Bebe Rexha - Me, Myself & I (Fanfar ","https://soundcloud.com/fanfarmusic/g-eazy-ft-bebe-rexha-me-myself-and-i-fanfar-sakso-remix"
"2016/07/24 12:27:41 AM AST","Penthox feat Paul Rey - Give It Away (Bastian Lorenz Remix)","https://soundcloud.com/bastian_lorenz/penthox-give-it-away-bastian-lorenz-remix"
"2016/07/24 12:27:44 AM AST","Shower (Christopher Riley Remix)","https://soundcloud.com/crmusic3/shower-christopher-riley-remix"
"2016/07/24 12:27:45 AM AST","I Need You Preview","https://soundcloud.com/marcmayofficial/i-need-you-preview"
"2016/07/24 12:27:45 AM AST","Finally","https://soundcloud.com/marcmayofficial/finally"
"2016/07/24 12:27:47 AM AST","Eminem - Without Slim Shady (Marc May Remix)","https://soundcloud.com/airwavemusictv-1/eminem-without-slim-shady-marc-may-remix"
"2016/07/24 12:27:47 AM AST","Diddy & Dirty Money Ft. Skylar Grey - Coming Home (Marc May)","https://soundcloud.com/exclusiveengineer/diddy-dirty-money-ft-skylar-grey-coming-home-marc-may-remix"
"2016/07/24 12:27:48 AM AST","Law Of Attraction","https://soundcloud.com/marcmayofficial/law-of-attraction"
"2016/07/24 12:27:49 AM AST","Hartzon - Rain On Me Feat. The NLY (Marc May Remix)","https://soundcloud.com/marcmayofficial/hartzon-rain-on-me-feat-the-nly-marc-may-remix"
"2016/07/24 12:27:51 AM AST","Rather Be (RENKO Remix) - Clean Bandit ""Click Buy for FREE DOWNLOAD""","https://soundcloud.com/renko_official/rather-be-renko-remix-clean-bandit-free-download"
"2016/07/24 12:27:54 AM AST","Sukiyaki (Renko Remix) - 4 P.M. ""Click BUY for FREE DOWNLOAD""","https://soundcloud.com/renko_official/sukiyaki-renko-remix-4-pm"
"2016/07/24 12:27:55 AM AST","Boulevard Of Broken Dreams (Renko Remix) - Green Day "" FREE DOWNLOAD""","https://soundcloud.com/renko_official/boulvard-of-broken-dreams-renko-remix-green-day"
"2016/07/24 12:27:57 AM AST","Firefiles (Renko Remix) - Owl City ""FREE DOWNLOAD""","https://soundcloud.com/renko_official/firefiles-remix-owl-city-click-buy-for-free-download"
"2016/07/24 12:27:57 AM AST","Apologize (Renko And ICHI Remix) - OneRepublic ""FREE DOWNLOAD""","https://soundcloud.com/renko_official/apologize-renko-and-ichi-remix-one-republic-click-buy-for-free-download"
"2016/07/24 12:27:58 AM AST","This Summer's Gonna Hurt Like A Mother F****r (Renko Remix) - Maroon 5 ""FREE DOWNLOAD""","https://soundcloud.com/renko_official/this-summers-gonna-hurt-like-a-mother-f-r-renko-remix-maroon-5-free-download"
"2016/07/24 12:28:00 AM AST","Schier - No Brakes (feat. Alexanderson)","https://soundcloud.com/tipsytortoise/nobrakes"
"2016/07/24 12:28:01 AM AST","Adele - Send My Love (Koni Remix ft. Bailey Pelkman)","https://soundcloud.com/koni_music/adele-send-my-love-koni-remix"
"2016/07/24 12:28:02 AM AST","TACACHO & Jhyve - Lonely Bed (stream on spotify)","https://soundcloud.com/tacachomusic/tacacho-jhyve-lonely-bed-radio-edit"
"2016/07/24 12:28:02 AM AST","Sterkøl & Renko Ft. SDY - Waiata (Original Mix)","https://soundcloud.com/sterk-l/sterkol-renko-ft-sdy-waiata-original-mix"
"2016/07/24 12:28:03 AM AST","C00l 4 TH3 Summer (Renko Remix) ""Click BUY For FREE DOWNLOAD""","https://soundcloud.com/loquito_official/c00l-4-th3-summer-renko-remix"
"2016/07/24 12:28:04 AM AST","Louder Than A Gun (Renko Remix ""Instrumental Mix Link Below"")- RR & KPK","https://soundcloud.com/renko_official/louder-than-a-gun-renko-remix-instrumental-mix"
"2016/07/24 12:28:04 AM AST","Ariana Grande ft. The Weeknd - Love Me Harder (Alessandro Mazzola Remix)","https://soundcloud.com/tropicalfuzion/ariana-grande-ft-the-weeknd-love-me-harder-alessandro-mazzola-remix"
"2016/07/24 12:28:05 AM AST","Justin Bieber X Avery - Love Yourself (Armon Remix)","https://soundcloud.com/armon_dj-s/justin-bieber-love-yourself-avery-cover-vs-armon-remix"
"2016/07/24 12:28:06 AM AST","Higher Love Ft. Grace Grundy","https://soundcloud.com/charminghorsesmusic/higher-love-ft-grace-grundy"
"2016/07/24 12:28:07 AM AST","Rudimental ft. Will Heard - I Will For Love (Embody Remix)","https://soundcloud.com/iamembody/rudimental-ft-will-heard-i-will-for-love-embody-remix"
"2016/07/24 12:28:08 AM AST","Stereo Love (Renko Remix) - Edward Maya & Vika Jigulina ""FREE DOWNLOAD""","https://soundcloud.com/renko_official/stereo-love-renko-remix-edward-maya-vika-jigulina-free-download"
"2016/07/24 12:28:09 AM AST","Bob Marley - Is This Love (Cobalt Remix)","https://soundcloud.com/edouard-gonzalez/bob-marley-is-this-love-2k15-cobalt-remix"
"2016/07/24 12:28:10 AM AST","Lennon & Maisy - Love (Anaa Remix) [Premiere]","https://soundcloud.com/ivoryoasis/lennon-maisy-love-anaa-remix"
"2016/07/24 12:28:11 AM AST","Sonny Alven feat. Corey Fox-Fardell - Irregular Love","https://soundcloud.com/sonnyalven/sonny-alven-irregular-love-feat-corey-fox-fardell-3"
